id,name,price,img,event,brand,category
61,서울)스페셜티마일드250ml,"1,900원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8801115139560_20200729151621.png,1+1,이마트24,음료
62,서울)스페셜티모카250ml,"1,900원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8801115139584_20200729151621.png,1+1,이마트24,음료
63,풀무원)액티비아딸기210ml,"1,900원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8809274510893_20200729151623.png,1+1,이마트24,음료
64,풀무원)액티비아복숭아210ml,"1,900원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8809274512651_20200729151623.png,1+1,이마트24,음료
65,풀무원)액티비아플레인210ml,"1,900원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8809274510916_20200729151623.png,1+1,이마트24,음료
66,HK)새싹보리500ml,"2,000원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8809422041125_20200729151623.png,1+1,이마트24,음료
67,빙그레)캔구루250ml,"2,000원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8804074000230_20200729151622.png,1+1,이마트24,음료
68,웅진)티즐유자그린티500ml,"2,000원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8801382148524_20200729151622.png,1+1,이마트24,음료
69,웅진)티즐피치우롱티500ml,"2,000원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8801382148500_20200729151622.png,1+1,이마트24,음료
70,이토엔)릴랙스쟈스민티500ml,"2,000원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_4901085002292_20200729151619.png,1+1,이마트24,음료
71,이토엔)오이오차녹차525ml,"2,000원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_4901085003800_20200729151619.png,1+1,이마트24,음료
